site,K
Site7,1.729407474
Site7,1.750332563
Site7,2.545082514
Site7,1.782633498
Site7,1.670455564
Site7,2.37037037
Site7,1.791166294
Site7,1.923793301
Site7,1.646090535
Site7,2.173929376
Site7,2.470484135
Site7,2.5872
Site7,2.465499695
Site7,1.825413405
Site7,2.5390625
Site7,1.676394411
Site7,2.508916324
Site7,2.727439638
Site7,1.622589694
Site7,1.875428669
Site7,1.749271137
Site7,2.098683601
Site7,1.693508781
Site7,1.752337728
Site7,1.822423094
Site7,1.886626335
Site7,1.826433979
Site7,1.749271137
Site7,1.752337728
Site7,1.881676423
Site7,1.907348633
Site7,1.684114702
Site7,1.707056851
Site7,1.594620207
Site7,2.67638484
Site7,1.791166294
Site7,1.822423094
Site7,1.822423094
Site7,1.622589694
Site7,1.822423094
Site7,1.574012701
Site7,1.632303652
Site7,2.277696793
Site7,1.748903001
Site7,1.955793479
Site7,1.752337728
Site7,1.676394411
Site7,1.749271137
Site7,2.659259259
Site7,1.822423094
Site7,1.826433979
Site7,1.822423094
Site7,1.896525565
Site7,1.598129732
Site7,1.572703311
Site7,1.868448504
Site7,1.791166294
Site7,1.908202727
Site7,1.896296296
Site7,1.760894065
Site7,1.791166294
Site7,1.628332994
Site7,1.822423094
Site7,1.881676423
Site7,1.825413405
Site7,1.729407474
Site7,2.45093658
Site7,1.748903001
Site7,1.955793479
Site7,2.693508781
Site7,1.994926238
Site7,1.822423094
Site7,2.659845839
Site7,2.57161976
Site7,2.436286829
Site7,1.985902926
Site7,1.7578125
Site7,1.97421673
Site7,1.693508781
Site7,1.739154632
Site7,1.70568699
Site7,2.47507544
Site7,1.748903001
Site7,1.632303652
Site7,1.628332994
Site7,1.7578125
Site7,1.658025228
Site7,2.528604649
Site7,1.617996896
Site7,1.933791993
Site7,2.539034641
Site7,1.276651881
Site7,2.455984838
Site7,1.880466472
Site7,1.695687302
Site7,1.771137026
Site7,2.429697137
Site7,1.805617728
Site7,1.896525565
Site7,1.408963355
Site7,2.583335243
Site7,1.959611457
Site7,1.643303356
Site7,1.638387363
Site7,2.550987177
Site7,1.793459602
Site7,1.785052461
Site7,1.840591431
Site7,1.920801092
Site7,1.953642129
Site7,1.791943241
Site7,1.88660778
Site7,1.732901226
Site7,1.593760684
Site7,1.849652265
Site7,1.657714301
Site7,2.64452354
Site7,1.719250114
Site7,2.250514403
